location,Company,Model,ModelType,Year,Kms,Fuel,Car_Type,Transmission,Color,No_of_owner,RTO,Insurance,Price
Pune,Ford,Ecosport,Trend 1.5L TDCi,Jun 2015,"99,200",Diesel,Manual,Manual,Blue,Second,Not Available,Comprehensive,₹ 6 Lakh
Hyderabad,Mercedes-Benz,A-Class,A 180 CDI Style,Jun 2013,"1,27,740",Diesel,Automatic,Automatic,Red,First,Not Available,Not Available,₹ 13.55 Lakh
Mumbai,Jeep,Compass,Limited 1.4 Petrol AT [2017-2020],Oct 2017,"15,000",Petrol,Automatic,Automatic,Silver,First,Not Available,"Comprehensive , till 30 Oct 2021",₹ 15.15 Lakh
Thane,Maruti Suzuki,Swift DZire,VDI,May 2014,"55,070",Diesel,Manual,Manual,Grey,First,panvel,Not Available,₹ 5.35 Lakh
Mumbai,Hyundai,i10,Sportz 1.2 Kappa2,Feb 2011,"37,000",Petrol,Manual,Manual,Gold,First,Not Available,"Comprehensive , till 30 Sep 2021",₹ 2.6 Lakh
Mumbai,Maruti Suzuki,Baleno,Alpha Automatic,Jan 2020,"10,953",Petrol,Automatic,Automatic,Grey,First,Not Available,"Comprehensive , till 25 Jun 2022",₹ 9.85 Lakh
Delhi,BMW,X6,xDrive 30d,Jun 2011,"49,000",Diesel,Automatic,Automatic,Silver,Second,Not Available,Not Available,₹ 17 Lakh
Delhi,Maruti Suzuki,Baleno,Zeta Automatic,Jun 2019,"23,000",Petrol,Automatic,Automatic,White,First,Not Available,Comprehensive,₹ 7.5 Lakh
Mumbai,Ford,Endeavour,Titanium Plus 2.2 4x2 AT,Mar 2019,"41,000",Diesel,Automatic,Automatic,Black,First,Not Available,Not Available,₹ 34.5 Lakh
Mumbai,Maruti Suzuki,Ertiga,ZXi Plus,Jul 2019,"8,515",Petrol,Manual,Manual,White,First,Not Available,"Comprehensive , till 23 Aug 2021",₹ 10.9 Lakh
Delhi,Hyundai,Santro,GLS (CNG),Jun 2012,"64,000",CNG + Cng,Manual,Manual,White,First,Not Available,Not Available,₹ 2.5 Lakh
Pune,Honda,City,S Diesel,Jun 2014,"1,67,118",Diesel,Manual,Manual,Silver,Second,Not Available,Third Party,₹ 5.5 Lakh
Delhi,Nissan,Sunny,XL,Jun 2012,"82,000",Petrol,Manual,Manual,White,First,Not Available,Not Available,₹ 2.75 Lakh
Mumbai,Maruti Suzuki,Baleno,Delta 1.2,Jul 2020,"7,658",Petrol,Manual,Manual,Blue,First,Mumbai,"Comprehensive , till 30 Jul 2022",₹ 7.15 Lakh
Jaipur,Maruti Suzuki,Ciaz,Alpha 1.4 MT,Jun 2020,"37,600",Petrol,Manual,Manual,Grey,First,Not Available,Comprehensive,₹ 9.9 Lakh
Hyderabad,Renault,Kwid,1.0 RXT [2016-2019],Jun 2017,"35,287",Petrol,Manual,Manual,Silver,First,Not Available,Not Available,₹ 3.75 Lakh
Hyderabad,Maruti Suzuki,Swift DZire,VDI,Jun 2011,"1,09,152",Diesel,Manual,Manual,Grey,Second,Not Available,Not Available,₹ 3.4 Lakh
Hyderabad,Maruti Suzuki,Swift,VDi,Jun 2013,"85,694",Diesel,Manual,Manual,Grey,Second,Not Available,Not Available,₹ 4.49 Lakh
Hyderabad,Maruti Suzuki,Ignis,Zeta 1.3 Diesel [2017-2018],Jun 2018,"28,340",Diesel,Manual,Manual,White,First,Not Available,Not Available,₹ 5.8 Lakh
Hyderabad,Maruti Suzuki,Baleno,Zeta 1.3,Jun 2018,"43,012",Diesel,Manual,Manual,Blue,First,Not Available,Not Available,₹ 7.9 Lakh
Hyderabad,Renault,Kwid,1.0 RXT [2016-2019],Jun 2017,"35,287",Petrol,Manual,Manual,Silver,First,Not Available,Not Available,₹ 3.75 Lakh
Hyderabad,Maruti Suzuki,Swift DZire,VDI,Jun 2011,"1,09,152",Diesel,Manual,Manual,Grey,Second,Not Available,Not Available,₹ 3.4 Lakh
Hyderabad,Maruti Suzuki,Swift,VDi,Jun 2013,"85,694",Diesel,Manual,Manual,Grey,Second,Not Available,Not Available,₹ 4.49 Lakh
Pune,Toyota,Fortuner,3.0 MT,Jun 2010,"1,24,000",Diesel,Manual,Manual,Black,First,Not Available,Third Party,₹ 10.35 Lakh
Pune,Hyundai,Elite i20,Asta 1.2 AT,May 2018,"22,077",Petrol,Automatic,Automatic,White,First,Pimpri Chinchwad,"Comprehensive , till 17 Jul 2022",₹ 7.75 Lakh
Pune,MG,Hector,Sharp 1.5 DCT Petrol [2019-2020],Jun 2019,"8,480",Petrol,Automatic,Automatic,White,First,Mumbai,"Third Party , till 14 Jul 2022",₹ 17.85 Lakh
